A,B,C,D,E,Target
0.9937,0.336,0.7008,0.9466,0.883,3.5828
0.1664,0.6356,0.8271,0.3334,0.2176,0.9546
0.5985,0.1463,0.7861,0.4867,0.8115,1.5796
0.9724,0.5467,0.818,0.8855,0.2123,3.424
0.5708,0.6372,0.492,0.8577,0.8148,3.2319
0.6665,0.4008,0.8361,0.2675,0.3482,1.7346
0.7262,0.7938,0.2082,0.8224,0.8894,4.2138
0.5091,0.1959,0.59,0.5124,0.9496,1.8282
0.6648,0.1676,0.1052,0.5347,0.2339,2.4488
0.6259,0.7554,0.3921,0.2201,0.5164,2.9249
0.911,0.5459,0.4298,0.1725,0.9829,3.3795
0.1409,0.7196,0.4566,0.7551,0.5351,2.0076
0.3529,0.4913,0.7259,0.5468,0.8772,1.7917
0.9554,0.3218,0.4497,0.4932,0.6299,3.1409
0.9012,0.8372,0.5038,0.7566,0.4378,4.0137
0.5101,0.8195,0.3138,0.789,0.3572,3.259
0.6581,0.7252,0.4359,0.243,0.2829,2.752
0.3496,0.3449,0.3045,0.6492,0.7856,2.1407
0.2693,0.6312,0.1659,0.2218,0.4479,2.1083
0.5173,0.4249,0.6431,0.7762,0.5601,2.2361
0.418,0.1824,0.7014,0.6913,0.5431,1.4374
0.6253,0.9256,0.6575,0.961,0.6196,3.6398
0.17,0.2231,0.5171,0.1621,0.879,0.8149
0.977,0.9552,0.4418,0.1513,0.9827,4.2629
0.9876,0.5014,0.877,0.354,0.4668,2.9082
